# ParticleTable.txt file containing particle
# properties for ParticlePropertySvc, EvtGen and Pythia.
# Uses PDG 2014 when available.
# https://gitlab.cern.ch/lhcb-conddb/DDDB/-/blob/master/param/ParticleTable.txt
PARTICLE,GEANTID,PDGID,CHARGE,MASS(GeV),TLIFE(s),EVTGENNAME,PYTHIAID,MAXWIDTH
h_b(3P),847,210553,0.0,10.51600000,0.000000e+00,h_b(3P),210553,0.00000000
n0,13,2112,0.0,0.93956541,8.803000e+02,n0,2112,0.00000000
n~0,25,-2112,0.0,0.93956541,8.803000e+02,anti-n0,-2112,0.00000000
p+,14,2212,1.0,0.93827208,1.000000e+16,p+,2212,0.00000000
p~-,15,-2212,-1.0,0.93827208,1.000000e+16,anti-p-,-2212,0.00000000
N(1440)0,624,12112,0.0,1.44000000,2.194041e-24,N(1440)0,0,0.00000000
N(1440)~0,625,-12112,0.0,1.44000000,2.194041e-24,anti-N(1440)0,0,0.00000000
N(1440)+,636,12212,1.0,1.44000000,2.194041e-24,N(1440)+,0,0.00000000
N(1440)~-,637,-12212,-1.0,1.44000000,2.194041e-24,anti-N(1440)-,0,0.00000000
N(1520)0,404,1214,0.0,1.51500000,5.983745e-24,N(1520)0,0,0.00000000
N(1520)~0,405,-1214,0.0,1.51500000,5.983745e-24,anti-N(1520)0,0,0.00000000
N(1520)+,420,2124,1.0,1.51500000,5.983745e-24,N(1520)+,0,0.00000000
N(1520)~-,421,-2124,-1.0,1.51500000,5.983745e-24,anti-N(1520)-,0,0.00000000
N(1535)0,705,22112,0.0,1.53000000,4.388081e-24,N(1535)0,0,0.00000000
N(1535)~0,706,-22112,0.0,1.53000000,4.388081e-24,anti-N(1535)0,0,0.00000000
N(1535)+,713,22212,1.0,1.53000000,4.388081e-24,N(1535)+,0,0.00000000
N(1535)~-,714,-22212,-1.0,1.53000000,4.388081e-24,anti-N(1535)-,0,0.00000000
N(1650)0,771,32112,0.0,1.65000000,5.265696e-24,N(1650)0,0,0.00000000
N(1650)~0,772,-32112,0.0,1.65000000,5.265696e-24,anti-N(1650)0,0,0.00000000
N(1650)+,777,32212,1.0,1.65000000,5.265696e-24,N(1650)+,0,0.00000000
N(1650)~-,778,-32212,-1.0,1.65000000,5.265696e-24,anti-N(1650)-,0,0.00000000
N(1675)0,414,2116,0.0,1.67500000,4.539393e-24,N(1675)0,0,0.00000000
N(1675)~0,415,-2116,0.0,1.67500000,4.539393e-24,anti-N(1675)0,0,0.00000000
N(1675)+,428,2216,1.0,1.67500000,4.539393e-24,N(1675)+,0,0.00000000
N(1675)~-,429,-2216,-1.0,1.67500000,4.539393e-24,anti-N(1675)-,0,0.00000000
N(1680)0,628,12116,0.0,1.68500000,5.485100e-24,N(1680)0,0,0.00000000
N(1680)~0,629,-12116,0.0,1.68500000,5.485100e-24,anti-N(1680)0,0,0.00000000
N(1680)+,640,12216,1.0,1.68500000,5.485100e-24,N(1680)+,0,0.00000000
N(1680)~-,641,-12216,-1.0,1.68500000,5.485100e-24,anti-N(1680)-,0,0.00000000
N(1700)+,711,22124,1.0,1.72000000,4.388081e-24,N(1700)+,0,0.00000000
N(1700)~-,712,-22124,-1.0,1.72000000,4.388081e-24,anti-N(1700)-,0,0.00000000
N(1700)0,703,21214,0.0,1.72000000,4.388081e-24,N(1700)0,0,0.00000000
N(1700)~0,704,-21214,0.0,1.72000000,4.388081e-24,anti-N(1700)0,0,0.00000000
N(1710)0,791,42112,0.0,1.71000000,6.582122e-24,N(1710)0,0,0.00000000
N(1710)~0,792,-42112,0.0,1.71000000,6.582122e-24,anti-N(1710)0,0,0.00000000
N(1710)+,795,42212,1.0,1.71000000,6.582122e-24,N(1710)+,0,0.00000000
N(1710)~-,796,-42212,-1.0,1.71000000,6.582122e-24,anti-N(1710)-,0,0.00000000
N(1720)0,769,31214,0.0,1.72000000,2.632849e-24,N(1720)0,0,0.00000000
N(1720)~0,770,-31214,0.0,1.72000000,2.632849e-24,anti-N(1720)0,0,0.00000000
N(1720)+,775,32124,1.0,1.72000000,2.632849e-24,N(1720)+,0,0.00000000
N(1720)~-,776,-32124,-1.0,1.72000000,2.632849e-24,anti-N(1720)-,0,0.00000000
N(1900)0,789,41214,0.0,1.89500000,5.476011e-24,N(1900)0,0,0.00000000
N(1900)~0,790,-41214,0.0,1.89500000,5.476011e-24,anti-N(1900)0,0,0.00000000
N(1900)+,793,42124,1.0,1.89500000,5.476011e-24,N(1900)+,0,0.00000000
N(1900)~-,794,-42124,-1.0,1.89500000,5.476011e-24,anti-N(1900)-,0,0.00000000
N(1990)0,630,12118,0.0,1.95000000,0.000000e+00,N(1990)0,0,0.00000000
N(1990)~0,631,-12118,0.0,1.95000000,0.000000e+00,anti-N(1990)0,0,0.00000000
N(1990)+,642,12218,1.0,1.95000000,0.000000e+00,N(1990)+,0,0.00000000
N(1990)~-,643,-12218,-1.0,1.95000000,0.000000e+00,anti-N(1990)-,0,0.00000000
N(2090)0,799,52114,0.0,2.00000000,0.000000e+00,N(2090)0,0,0.00000000
N(2090)~0,800,-52114,0.0,2.00000000,0.000000e+00,anti-N(2090)0,0,0.00000000
N(2090)+,801,52214,1.0,2.00000000,0.000000e+00,N(2090)+,0,0.00000000
N(2090)~-,802,-52214,-1.0,2.00000000,0.000000e+00,anti-N(2090)-,0,0.00000000
N(2190)0,408,1218,0.0,2.18000000,1.645530e-24,N(2190)0,0,0.00000000
N(2190)~0,409,-1218,0.0,2.18000000,1.645530e-24,anti-N(2190)0,0,0.00000000
N(2190)+,424,2128,1.0,2.18000000,1.645530e-24,N(2190)+,0,0.00000000
N(2190)~-,425,-2128,-1.0,2.18000000,1.645530e-24,anti-N(2190)-,0,0.00000000
Delta-,182,1114,-1.0,1.23200000,5.625745e-24,Delta-,1114,0.00000000
Delta~+,186,-1114,1.0,1.23200000,5.625745e-24,anti-Delta+,-1114,0.00000000
Delta0,181,2114,0.0,1.23200000,5.625745e-24,Delta0,2114,0.00000000
Delta~0,185,-2114,0.0,1.23200000,5.625745e-24,anti-Delta0,-2114,0.00000000
Delta+,180,2214,1.0,1.23200000,5.625745e-24,Delta+,2214,0.00000000
Delta~-,184,-2214,-1.0,1.23200000,5.625745e-24,anti-Delta-,-2214,0.00000000
Delta++,179,2224,2.0,1.23200000,5.625745e-24,Delta++,2224,0.00000000
Delta~--,183,-2224,-2.0,1.23200000,5.625745e-24,anti-Delta--,-2224,0.00000000
Delta(1600)-,767,31114,-1.0,1.57000000,2.632848e-24,Delta(1600)-,0,0.00000000
Delta(1600)~+,768,-31114,1.0,1.57000000,2.632848e-24,anti-Delta(1600)+,0,0.00000000
Delta(1600)0,773,32114,0.0,1.57000000,2.632848e-24,Delta(1600)0,0,0.00000000
Delta(1600)~0,774,-32114,0.0,1.57000000,2.632848e-24,anti-Delta(1600)0,0,0.00000000
Delta(1600)+,779,32214,1.0,1.57000000,2.632848e-24,Delta(1600)+,0,0.00000000
Delta(1600)~-,780,-32214,-1.0,1.57000000,2.632848e-24,anti-Delta(1600)-,0,0.00000000
Delta(1600)++,781,32224,2.0,1.57000000,2.632848e-24,Delta(1600)++,0,0.00000000
Delta(1600)~--,782,-32224,-2.0,1.57000000,2.632848e-24,anti-Delta(1600)--,0,0.00000000
Delta(1620)-,396,1112,-1.0,1.61000000,5.063169e-24,Delta(1620)-,0,0.00000000
Delta(1620)~+,397,-1112,1.0,1.61000000,5.063169e-24,anti-Delta(1620)+,0,0.00000000
Delta(1620)0,402,1212,0.0,1.61000000,5.063169e-24,Delta(1620)0,0,0.00000000
Delta(1620)~0,403,-1212,0.0,1.61000000,5.063169e-24,anti-Delta(1620)0,0,0.00000000
Delta(1620)+,418,2122,1.0,1.61000000,5.063169e-24,Delta(1620)+,0,0.00000000
Delta(1620)~-,419,-2122,-1.0,1.61000000,5.063169e-24,anti-Delta(1620)-,0,0.00000000
Delta(1620)++,432,2222,2.0,1.61000000,5.063169e-24,Delta(1620)++,0,0.00000000
Delta(1620)~--,433,-2222,-2.0,1.61000000,5.063169e-24,anti-Delta(1620)--,0,0.00000000
Delta(1700)-,616,11114,-1.0,1.71000000,2.194041e-24,Delta(1700)-,0,0.00000000
Delta(1700)~+,617,-11114,1.0,1.71000000,2.194041e-24,anti-Delta(1700)+,0,0.00000000
Delta(1700)0,626,12114,0.0,1.71000000,2.194041e-24,Delta(1700)0,0,0.00000000
Delta(1700)~0,627,-12114,0.0,1.71000000,2.194041e-24,anti-Delta(1700)0,0,0.00000000
Delta(1700)+,638,12214,1.0,1.71000000,2.194041e-24,Delta(1700)+,0,0.00000000
Delta(1700)~-,639,-12214,-1.0,1.71000000,2.194041e-24,anti-Delta(1700)-,0,0.00000000
Delta(1700)++,646,12224,2.0,1.71000000,2.194041e-24,Delta(1700)++,0,0.00000000
Delta(1700)~--,647,-12224,-2.0,1.71000000,2.194041e-24,anti-Delta(1700)--,0,0.00000000
Delta(1900)-,614,11112,-1.0,1.86000000,2.632848e-24,Delta(1900)-,0,0.00000000
Delta(1900)~+,615,-11112,1.0,1.86000000,2.632848e-24,anti-Delta(1900)+,0,0.00000000
Delta(1900)0,620,11212,0.0,1.86000000,2.632848e-24,Delta(1900)0,0,0.00000000
Delta(1900)~0,621,-11212,0.0,1.86000000,2.632848e-24,anti-Delta(1900)0,0,0.00000000
Delta(1900)+,632,12122,1.0,1.86000000,2.632848e-24,Delta(1900)+,0,0.00000000
Delta(1900)~-,633,-12122,-1.0,1.86000000,2.632848e-24,anti-Delta(1900)-,0,0.00000000
Delta(1900)++,644,12222,2.0,1.86000000,2.632848e-24,Delta(1900)++,0,0.00000000
Delta(1900)~--,645,-12222,-2.0,1.86000000,2.632848e-24,anti-Delta(1900)--,0,0.00000000
Delta(1905)-,398,1116,-1.0,1.88000000,1.994582e-24,Delta(1905)-,0,0.00000000
Delta(1905)~+,399,-1116,1.0,1.88000000,1.994582e-24,anti-Delta(1905)+,0,0.00000000
Delta(1905)0,406,1216,0.0,1.88000000,1.994582e-24,Delta(1905)0,0,0.00000000
Delta(1905)~0,407,-1216,0.0,1.88000000,1.994582e-24,anti-Delta(1905)0,0,0.00000000
Delta(1905)+,422,2126,1.0,1.88000000,1.994582e-24,Delta(1905)+,0,0.00000000
Delta(1905)~-,423,-2126,-1.0,1.88000000,1.994582e-24,anti-Delta(1905)-,0,0.00000000
Delta(1905)++,434,2226,2.0,1.88000000,1.994582e-24,Delta(1905)++,0,0.00000000
Delta(1905)~--,435,-2226,-2.0,1.88000000,1.994582e-24,anti-Delta(1905)--,0,0.00000000
Delta(1910)-,697,21112,-1.0,1.90000000,2.350758e-24,Delta(1910)-,0,0.00000000
Delta(1910)~+,698,-21112,1.0,1.90000000,2.350758e-24,anti-Delta(1910)+,0,0.00000000
Delta(1910)0,701,21212,0.0,1.90000000,2.350758e-24,Delta(1910)0,0,0.00000000
Delta(1910)~0,702,-21212,0.0,1.90000000,2.350758e-24,anti-Delta(1910)0,0,0.00000000
Delta(1910)+,709,22122,1.0,1.90000000,2.350758e-24,Delta(1910)+,0,0.00000000
Delta(1910)~-,710,-22122,-1.0,1.90000000,2.350758e-24,anti-Delta(1910)-,0,0.00000000
Delta(1910)++,717,22222,2.0,1.90000000,2.350758e-24,Delta(1910)++,0,0.00000000
Delta(1910)~--,718,-22222,-2.0,1.90000000,2.350758e-24,anti-Delta(1910)--,0,0.00000000
Delta(1920)-,699,21114,-1.0,1.92000000,2.531585e-24,Delta(1920)-,0,0.00000000
Delta(1920)~+,700,-21114,1.0,1.92000000,2.531585e-24,anti-Delta(1920)+,0,0.00000000
Delta(1920)0,707,22114,0.0,1.92000000,2.531585e-24,Delta(1920)0,0,0.00000000
Delta(1920)~0,708,-22114,0.0,1.92000000,2.531585e-24,anti-Delta(1920)0,0,0.00000000
Delta(1920)+,715,22214,1.0,1.92000000,2.531585e-24,Delta(1920)+,0,0.00000000
Delta(1920)~-,716,-22214,-1.0,1.92000000,2.531585e-24,anti-Delta(1920)-,0,0.00000000
Delta(1920)++,719,22224,2.0,1.92000000,2.531585e-24,Delta(1920)++,0,0.00000000
Delta(1920)~--,720,-22224,-2.0,1.92000000,2.531585e-24,anti-Delta(1920)--,0,0.00000000
Delta(1930)-,618,11116,-1.0,1.95000000,2.194040e-24,Delta(1930)-,0,0.00000000
Delta(1930)~+,619,-11116,1.0,1.95000000,2.194040e-24,anti-Delta(1930)+,0,0.00000000
Delta(1930)0,622,11216,0.0,1.95000000,2.194040e-24,Delta(1930)0,0,0.00000000
Delta(1930)~0,623,-11216,0.0,1.95000000,2.194040e-24,anti-Delta(1930)0,0,0.00000000
Delta(1930)+,634,12126,1.0,1.95000000,2.194040e-24,Delta(1930)+,0,0.00000000
Delta(1930)~-,635,-12126,-1.0,1.95000000,2.194040e-24,anti-Delta(1930)-,0,0.00000000
Delta(1930)++,648,12226,2.0,1.95000000,2.194040e-24,Delta(1930)++,0,0.00000000
Delta(1930)~--,649,-12226,-2.0,1.95000000,2.194040e-24,anti-Delta(1930)--,0,0.00000000
Delta(1950)-,400,1118,-1.0,1.93000000,2.350758e-24,Delta(1950)-,0,0.00000000
Delta(1950)~+,401,-1118,1.0,1.93000000,2.350758e-24,anti-Delta(1950)+,0,0.00000000
Delta(1950)0,416,2118,0.0,1.93000000,2.350758e-24,Delta(1950)0,0,0.00000000
Delta(1950)~0,417,-2118,0.0,1.93000000,2.350758e-24,anti-Delta(1950)0,0,0.00000000
Delta(1950)+,430,2218,1.0,1.93000000,2.350758e-24,Delta(1950)+,0,0.00000000
Delta(1950)~-,431,-2218,-1.0,1.93000000,2.350758e-24,anti-Delta(1950)-,0,0.00000000
Delta(1950)++,436,2228,2.0,1.93000000,2.350758e-24,Delta(1950)++,0,0.00000000
Delta(1950)~--,437,-2228,-2.0,1.93000000,2.350758e-24,anti-Delta(1950)--,0,0.00000000
Lambda0,18,3122,0.0,1.11568300,2.632000e-10,Lambda0,3122,0.00000000
Lambda~0,26,-3122,0.0,1.11568300,2.632000e-10,anti-Lambda0,-3122,0.00000000
Lambda(1405)0,656,13122,0.0,1.40510000,1.316424e-23,Lambda(1405)0,0,0.00000000
Lambda(1405)~0,657,-13122,0.0,1.40510000,1.316424e-23,anti-Lambda(1405)0,0,0.00000000
Lambda(1520)0,448,3124,0.0,1.51950000,4.219309e-23,Lambda(1520)0,0,0.00000000
Lambda(1520)~0,449,-3124,0.0,1.51950000,4.219309e-23,anti-Lambda(1520)0,0,0.00000000
Lambda(1600)0,725,23122,0.0,1.60000000,4.388081e-24,Lambda(1600)0,0,0.00000000
Lambda(1600)~0,726,-23122,0.0,1.60000000,4.388081e-24,anti-Lambda(1600)0,0,0.00000000
Lambda(1670)0,783,33122,0.0,1.67000000,1.880606e-23,Lambda(1670)0,0,0.00000000
Lambda(1670)~0,784,-33122,0.0,1.67000000,1.880606e-23,anti-Lambda(1670)0,0,0.00000000
Lambda(1690)0,658,13124,0.0,1.69000000,1.097020e-23,Lambda(1690)0,0,0.00000000
Lambda(1690)~0,659,-13124,0.0,1.69000000,1.097020e-23,anti-Lambda(1690)0,0,0.00000000
Lambda(1800)0,797,43122,0.0,1.80000000,2.194041e-24,Lambda(1800)0,0,0.00000000
Lambda(1800)~0,798,-43122,0.0,1.80000000,2.194041e-24,anti-Lambda(1800)0,0,0.00000000
Lambda(1810)0,803,53122,0.0,1.81000000,4.388081e-24,Lambda(1810)0,0,0.00000000
Lambda(1810)~0,804,-53122,0.0,1.81000000,4.388081e-24,anti-Lambda(1810)0,0,0.00000000
Lambda(1820)0,450,3126,0.0,1.82000000,8.227652e-24,Lambda(1820)0,0,0.00000000
Lambda(1820)~0,451,-3126,0.0,1.82000000,8.227652e-24,anti-Lambda(1820)0,0,0.00000000
Lambda(1830)0,660,13126,0.0,1.83000000,6.928549e-24,Lambda(1830)0,0,0.00000000
Lambda(1830)~0,661,-13126,0.0,1.83000000,6.928549e-24,anti-Lambda(1830)0,0,0.00000000
Lambda(1890)0,727,23124,0.0,1.89000000,6.582122e-24,Lambda(1890)0,0,0.00000000
Lambda(1890)~0,728,-23124,0.0,1.89000000,6.582122e-24,anti-Lambda(1890)0,0,0.00000000
Lambda(2100)0,452,3128,0.0,2.10000000,3.291061e-24,Lambda(2100)0,0,0.00000000
Lambda(2100)~0,453,-3128,0.0,2.10000000,3.291061e-24,anti-Lambda(2100)0,0,0.00000000
Lambda(2110)0,729,23126,0.0,2.11000000,3.291061e-24,Lambda(2110)0,0,0.00000000
Lambda(2110)~0,730,-23126,0.0,2.11000000,3.291061e-24,anti-Lambda(2110)0,0,0.00000000
Sigma-,21,3112,-1.0,1.19744900,1.479128e-10,Sigma-,3112,0.00000000
Sigma~+,29,-3112,1.0,1.19744900,1.479128e-10,anti-Sigma+,-3112,0.00000000
Sigma0,20,3212,0.0,1.19264200,7.400000e-20,Sigma0,3212,0.00000000
Sigma~0,28,-3212,0.0,1.19264200,7.400000e-20,anti-Sigma0,-3212,0.00000000
Sigma+,19,3222,1.0,1.18937000,8.018175e-11,Sigma+,3222,0.00000000
Sigma~-,27,-3222,-1.0,1.18937000,8.018175e-11,anti-Sigma-,-3222,0.00000000
Sigma*-,442,3114,-1.0,1.38720000,1.670589e-23,Sigma*-,3114,0.00000000
Sigma*~+,443,-3114,1.0,1.38720000,1.670589e-23,anti-Sigma*+,-3114,0.00000000
Sigma*0,458,3214,0.0,1.38370000,1.828367e-23,Sigma*0,3214,0.00000000
Sigma*~0,459,-3214,0.0,1.38370000,1.828367e-23,anti-Sigma*0,-3214,0.00000000
Sigma*+,464,3224,1.0,1.38280000,1.828367e-23,Sigma*+,3224,0.00000000
Sigma*~-,465,-3224,-1.0,1.38280000,1.828367e-23,anti-Sigma*-,-3224,0.00000000
Sigma(1660)-,650,13112,-1.0,1.66000000,6.582122e-24,Sigma(1660)-,0,0.00000000
Sigma(1660)~+,651,-13112,1.0,1.66000000,6.582122e-24,anti-Sigma(1660)+,0,0.00000000
Sigma(1660)0,662,13212,0.0,1.66000000,6.582122e-24,Sigma(1660)0,0,0.00000000
Sigma(1660)~0,663,-13212,0.0,1.66000000,6.582122e-24,anti-Sigma(1660)0,0,0.00000000
Sigma(1660)+,668,13222,1.0,1.66000000,6.582122e-24,Sigma(1660)+,0,0.00000000
Sigma(1660)~-,669,-13222,-1.0,1.66000000,6.582122e-24,anti-Sigma(1660)-,0,0.00000000
Sigma(1670)-,652,13114,-1.0,1.67000000,1.097020e-23,Sigma(1670)-,0,0.00000000
Sigma(1670)~+,653,-13114,1.0,1.67000000,1.097020e-23,anti-Sigma(1670)+,0,0.00000000
Sigma(1670)0,664,13214,0.0,1.67000000,1.097020e-23,Sigma(1670)0,0,0.00000000
Sigma(1670)~0,665,-13214,0.0,1.67000000,1.097020e-23,anti-Sigma(1670)0,0,0.00000000
Sigma(1670)+,670,13224,1.0,1.67000000,1.097020e-23,Sigma(1670)+,0,0.00000000
Sigma(1670)~-,671,-13224,-1.0,1.67000000,1.097020e-23,anti-Sigma(1670)-,0,0.00000000
Sigma(1750)-,721,23112,-1.0,1.75000000,7.313469e-24,Sigma(1750)-,0,0.00000000
Sigma(1750)~+,722,-23112,1.0,1.75000000,7.313469e-24,anti-Sigma(1750)+,0,0.00000000
Sigma(1750)0,731,23212,0.0,1.75000000,7.313469e-24,Sigma(1750)0,0,0.00000000
Sigma(1750)~0,732,-23212,0.0,1.75000000,7.313469e-24,anti-Sigma(1750)0,0,0.00000000
Sigma(1750)+,735,23222,1.0,1.75000000,7.313469e-24,Sigma(1750)+,0,0.00000000
Sigma(1750)~-,736,-23222,-1.0,1.75000000,7.313469e-24,anti-Sigma(1750)-,0,0.00000000
Sigma(1775)-,444,3116,-1.0,1.77500000,5.485102e-24,Sigma(1775)-,0,0.00000000
Sigma(1775)~+,445,-3116,1.0,1.77500000,5.485102e-24,anti-Sigma(1775)+,0,0.00000000
Sigma(1775)0,460,3216,0.0,1.77500000,5.485102e-24,Sigma(1775)0,0,0.00000000
Sigma(1775)~0,461,-3216,0.0,1.77500000,5.485102e-24,anti-Sigma(1775)0,0,0.00000000
Sigma(1775)+,466,3226,1.0,1.77500000,5.485102e-24,Sigma(1775)+,0,0.00000000
Sigma(1775)~-,467,-3226,-1.0,1.77500000,5.485102e-24,anti-Sigma(1775)-,0,0.00000000
Sigma(1915)-,654,13116,-1.0,1.91500000,5.485102e-24,Sigma(1915)-,0,0.00000000
Sigma(1915)~+,655,-13116,1.0,1.91500000,5.485102e-24,anti-Sigma(1915)+,0,0.00000000
Sigma(1915)0,666,13216,0.0,1.91500000,5.485102e-24,Sigma(1915)0,0,0.00000000
Sigma(1915)~0,667,-13216,0.0,1.91500000,5.485102e-24,anti-Sigma(1915)0,0,0.00000000
Sigma(1915)+,672,13226,1.0,1.91500000,5.485102e-24,Sigma(1915)+,0,0.00000000
Sigma(1915)~-,673,-13226,-1.0,1.91500000,5.485102e-24,anti-Sigma(1915)-,0,0.00000000
Sigma(1940)-,723,23114,-1.0,1.94000000,2.991874e-24,Sigma(1940)-,0,0.00000000
Sigma(1940)~+,724,-23114,1.0,1.94000000,2.991874e-24,anti-Sigma(1940)+,0,0.00000000
Sigma(1940)0,733,23214,0.0,1.94000000,2.991874e-24,Sigma(1940)0,0,0.00000000
Sigma(1940)~0,734,-23214,0.0,1.94000000,2.991874e-24,anti-Sigma(1940)0,0,0.00000000
Sigma(1940)+,737,23224,1.0,1.94000000,2.991874e-24,Sigma(1940)+,0,0.00000000
Sigma(1940)~-,738,-23224,-1.0,1.94000000,2.991874e-24,anti-Sigma(1940)-,0,0.00000000
Sigma(2030)0,462,3218,0.0,2.03000000,3.656734e-24,Sigma(2030)0,0,0.00000000
Sigma(2030)~0,463,-3218,0.0,2.03000000,3.656734e-24,anti-Sigma(2030)0,0,0.00000000
Sigma(2030)+,468,3228,1.0,2.03000000,3.656734e-24,Sigma(2030)+,0,0.00000000
Sigma(2030)~-,469,-3228,-1.0,2.03000000,3.656734e-24,anti-Sigma(2030)-,0,0.00000000
Sigma(2030)-,446,3118,-1.0,2.03000000,3.656734e-24,Sigma(2030)-,0,0.00000000
Sigma(2030)~+,447,-3118,1.0,2.03000000,3.656734e-24,anti-Sigma(2030)+,0,0.00000000
Sigma(2250)0,1059,103212,0.0,2.25000000,6.580000e-24,Sigma(2250)0,0,0.00000000
Sigma(2250)~0,1060,-103212,0.0,2.25000000,6.580000e-24,anti-Sigma(2250)0,0,0.00000000
Sigma(2250)+,1061,103222,1.0,2.25000000,6.580000e-24,Sigma(2250)+,0,0.00000000
Sigma(2250)~-,1062,-103222,-1.0,2.25000000,6.580000e-24,anti-Sigma(2250)-,0,0.00000000
Sigma(2250)-,1063,103112,-1.0,2.25000000,6.580000e-24,Sigma(2250)-,0,0.00000000
Sigma(2250)~+,1064,-103112,1.0,2.25000000,6.580000e-24,anti-Sigma(2250)+,0,0.00000000
Xi-,23,3312,-1.0,1.32171000,1.639000e-10,Xi-,3312,0.00000000
Xi~+,31,-3312,1.0,1.32171000,1.639000e-10,anti-Xi+,-3312,0.00000000
Xi0,22,3322,0.0,1.31486000,2.900000e-10,Xi0,3322,0.00000000
Xi~0,30,-3322,0.0,1.31486000,2.900000e-10,anti-Xi0,-3322,0.00000000
Xi*-,472,3314,-1.0,1.53500000,6.648608e-23,Xi*-,3314,0.00000000
Xi*~+,473,-3314,1.0,1.53500000,6.648608e-23,anti-Xi*+,-3314,0.00000000
Xi*0,474,3324,0.0,1.53180000,7.233101e-23,Xi*0,3324,0.00000000
Xi*~0,475,-3324,0.0,1.53180000,7.233101e-23,anti-Xi*0,-3324,0.00000000
Xi(1690)-,1033,203312,-1.0,1.69000000,0.000000e+00,Xi(1690)-,0,0.00000000
Xi(1690)~+,1034,-203312,1.0,1.69000000,0.000000e+00,anti-Xi(1690)+,0,0.00000000
Xi(1690)0,1035,203322,0.0,1.69000000,0.000000e+00,Xi(1690)0,0,0.00000000
Xi(1690)~0,1036,-203322,0.0,1.69000000,0.000000e+00,anti-Xi(1690)0,0,0.00000000
Xi(1820)-,674,13314,-1.0,1.82300000,2.742551e-23,Xi(1820)-,0,0.00000000
Xi(1820)~+,675,-13314,1.0,1.82300000,2.742551e-23,anti-Xi(1820)+,0,0.00000000
Xi(1820)0,678,13324,0.0,1.82300000,2.742551e-23,Xi(1820)0,0,0.00000000
Xi(1820)~0,679,-13324,0.0,1.82300000,2.742551e-23,anti-Xi(1820)0,0,0.00000000
Xi(1950)-,1037,103316,-1.0,1.95000000,1.097020e-23,Xi(1950)-,0,0.00000000
Xi(1950)~+,1038,-103316,1.0,1.95000000,1.097020e-23,anti-Xi(1950)+,0,0.00000000
Xi(1950)0,1039,103326,0.0,1.95000000,1.097020e-23,Xi(1950)0,0,0.00000000
Xi(1950)~0,1040,-103326,0.0,1.95000000,1.097020e-23,anti-Xi(1950)0,0,0.00000000
Xi(2030)-,1041,203316,-1.0,2.02500000,3.291061e-23,Xi(2030)-,0,0.00000000
Xi(2030)~+,1042,-203316,1.0,2.02500000,3.291061e-23,anti-Xi(2030)+,0,0.00000000
Xi(2030)0,1043,203326,0.0,2.02500000,3.291061e-23,Xi(2030)0,0,0.00000000
Xi(2030)~0,1044,-203326,0.0,2.02500000,3.291061e-23,anti-Xi(2030)0,0,0.00000000
Omega-,24,3334,-1.0,1.67245000,8.210000e-11,Omega-,3334,0.00000000
Omega~+,32,-3334,1.0,1.67245000,8.210000e-11,anti-Omega+,-3334,0.00000000
Omega(2250)-,1045,203338,-1.0,2.25200000,1.196749e-23,Omega(2250)-,0,0.00000000
Omega(2250)~+,1046,-203338,1.0,2.25200000,1.196749e-23,anti-Omega(2250)+,0,0.00000000
Lambda_c+,62,4122,1.0,2.28646000,2.000000e-13,Lambda_c+,4122,0.00000000
Lambda_c~-,63,-4122,-1.0,2.28646000,2.000000e-13,anti-Lambda_c-,-4122,0.00000000
Lambda_c(2595)+,682,14122,1.0,2.59225000,2.531585e-22,Lambda_c(2593)+,0,0.00000000
Lambda_c(2595)~-,683,-14122,-1.0,2.59225000,2.531585e-22,anti-Lambda_c(2593)-,0,0.00000000
Lambda_c(2625)+,1047,104124,1.0,2.62811000,0.000000e+00,Lambda_c(2625)+,0,0.00000000
Lambda_c(2625)~-,1048,-104124,-1.0,2.62811000,0.000000e+00,anti-Lambda_c(2625)-,0,0.00000000
Lambda_c(2880)+,1049,204126,1.0,2.88163000,1.175379e-22,Lambda_c(2880)+,0,0.00000000
Lambda_c(2880)~-,1050,-204126,-1.0,2.88163000,1.175379e-22,anti-Lambda_c(2880)-,0,0.00000000
Sigma_c0,81,4112,0.0,2.45375000,3.596787e-22,Sigma_c0,4112,0.00000000
Sigma_c~0,82,-4112,0.0,2.45375000,3.596787e-22,anti-Sigma_c0,-4112,0.00000000
Sigma_c+,83,4212,1.0,2.45290000,3.999999e-22,Sigma_c+,4212,0.00000000
Sigma_c~-,84,-4212,-1.0,2.45290000,3.999999e-22,anti-Sigma_c-,-4212,0.00000000
Sigma_c++,85,4222,2.0,2.45397000,3.482603e-22,Sigma_c++,4222,0.00000000
Sigma_c~--,86,-4222,-2.0,2.45397000,3.482603e-22,anti-Sigma_c--,-4222,0.00000000
Sigma_c*0,480,4114,0.0,2.51848000,4.539394e-23,Sigma_c*0,4114,0.00000000
Sigma_c*~0,481,-4114,0.0,2.51848000,4.539394e-23,anti-Sigma_c*0,-4114,0.00000000
Sigma_c*+,486,4214,1.0,2.51750000,3.291061e-22,Sigma_c*+,4214,0.00000000
Sigma_c*~-,487,-4214,-1.0,2.51750000,3.291061e-22,anti-Sigma_c*-,-4214,0.00000000
Sigma_c*++,488,4224,2.0,2.51841000,4.453396e-23,Sigma_c*++,4224,0.00000000
